artist,track,album,tags,duration_ms
Morgan Wallen,The Way I Talk,The Way I Talk,country|country pop|contemporary country,208000
Boys Like Girls,HeroHeroine,Boys Like Girls,pop punk|alternative|rock,226000
The 4 Seasons,December 1963,25 Original Nr 1 Hits Volume 4 (The Hits Of 1969 To 1991),60s|oldies|pop,210000
Malcolm Todd,Cheer Me On,Malcolm Todd,alternative rnb|indie|USA,257000
Iggy Azalea,Savior,Savior,Hip-Hop|rap|pop,208000
Christina Perri,"A Thousand Years, Pt. 2 (feat. Steve Kazee)",,pop|female vocalists|singer-songwriter,305000
Miley Cyrus,Violet Chemistry,Endless Summer Vacation,pop|female vocalists|dance,246000
Pop Smoke,Christopher Walking,100% Rap,drill|rap|trap,190000
Pop Smoke,PTSD,"Meet the Woo, v.1 Mixtape",drill|rap|trap,199000
Tory Lanez,Someone Else - Lost Tapes 2015,,rnb|Hip-Hop|rap,0
Soulja Boy Tell'em,Kiss Me Thru The Phone (feat Sammie),,Hip-Hop|rap|Crunk,0
Maxwell,Safari,Safari,soul|Neo-Soul|rnb,158000
David Archuleta,Crème Brulée,Crème Brulée,pop|American Idol|male vocalists,179000
Boys Like Girls,Two Is Better Than One [ft. Taylor Swift],,pop punk|alternative|rock,0
Tevin Campbell,I 2 I,Radio Aahs - August 1995 No. 6,rnb|90s|soul,242000
PARTYNEXTDOOR & Drake,F o r C e r t a i n,,rnb|Hip-Hop|r&b,0
Lil Baby,Hats Off (feat. Travis Scott),,rap|Hip-Hop|hip hop,257000
Young Money,Lookin Ass,Rise of an Empire (Deluxe Edition),Hip-Hop|rap|young money,161000
The Tokens,"Perhaps, The Joy Of Giving",It's A Happening World (Expanded Edition),oldies|60s|pop,32000
Crystal Gayle,You Never Gave Up On Me,Crystal Gayle: The Hits,country|female vocalists|classic country,192000
Starz,turnmeup,TURNMEUP - Single,hard rock|rock|glam rock,155000
The Babys,Kikoenai Uta,,classic rock|rock|70s,272000
PARTYNEXTDOOR & Drake,FREAK IN YOU,,rnb|Hip-Hop|r&b,0
Chris Brown,Angel Numbers / Ten Toes,11:11,rnb|Hip-Hop|Chris Brown,306000
Bryson Tiller,Inhale,Anniversary,rnb|Hip-Hop|trap,171000
Mariah Carey,Circles,The Emancipation of Mimi,pop|rnb|female vocalists,210000
The Fixx,Two Different Views,Ultimate Collection,new wave|80s|british,252000
Jhene Aiko,My Mine,Sailing Soul(s),rnb|Get Down|c asian,241000
Malcolm Todd,concrete,Malcolm Todd,alternative rnb|indie|USA,173000
Megan Thee Stallion,Freak Nasty,Tina Snow,rap|Hip-Hop|trap,173000
Troye Sivan,Rager teenager!,Teen Angst,pop|indie pop|indie,201000
Roddy Ricch,War Baby,Please Excuse Me for Being Antisocial,rap|Hip-Hop|trap,195000
3OH!3,Colorado Sunrise,Want,electronic|Hip-Hop|Crunk,203000
Karol G,Bandida Entrenada,Tropicoqueta [Explicit],Reggaeton|latin|Colombia,135000
XXXTENTACION,love yourself (interlude),?,Hip-Hop|rap|cloud rap,48000
Malcolm Todd,Zip Up My Fly,Malcolm Todd (still) [Explicit],alternative rnb|indie|USA,131000
Lil Skies,Welcome to the Rodeo,Life of a Dark Rose,rap|Hip-Hop|cloud rap,169000
Lil Skies,Play This At My Funeral (feat. Landon Cube),Play This At My Funeral (feat. Landon Cube),rap|Hip-Hop|cloud rap,186000
Lil Skies,On Sight,Ok + Unbothered album selects,rap|Hip-Hop|cloud rap,161000
LMFAO,Champagne Showers (feat. Natalia Kills),Sorry For Party Rocking - Deluxe Edition,electronic|Hip-Hop|electro,264000
Total,Дальтоник,Total: 1,russian|female vocalists|russian rock,220000
Lil Tecca,Show Me Up,Hip-Hop & Rap Hits,rap|Hip-Hop|trap,166000
Mariah Carey,Butterfly,Butterfly,pop|rnb|female vocalists,274000
Tory Lanez,Pluto’s Last Comet,Alone at Prom,rnb|Hip-Hop|rap,211000
Bryson Tiller,7:00,Anniversary,rnb|Hip-Hop|trap,188000
3OH!3,I'm Not Your Boyfriend Baby,Want,electronic|Hip-Hop|Crunk,224000
Logic,City of Stars,The Incredible True Story,Hip-Hop|rap|hip hop,377000
Selena Gomez & The Scene,Off the Chain,A Year Without Rain (Deluxe Edition),pop|female vocalists|pop rock,243000
will.i.am,This Is Love (feat. Eva Simons),This Is Love (feat. Eva Simons) - Single,Hip-Hop|rap|rnb,245000
Young Money,Bedrock (featuring Lloyd),,Hip-Hop|rap|young money,0
Marques Houston,Sunset,Mr. Houston,rnb|marques houston|soul,238000
Kid Cudi,By Design,"Passion, Pain & Demon Slayin'",Hip-Hop|rap|alternative rap,257000
Karol G,CAIRO,CAIRO,Reggaeton|latin|Colombia,198000
Frank Ocean,Songs for Women,"nostalgia, ULTRA.",rnb|soul|Hip-Hop,253000
OneRepublic,Stop & Stare,,pop rock|rock|alternative,224000
Lil Baby,2040,,rap|Hip-Hop|hip hop,192000
Logic,No Pressure Intro,Video Gaming Music,Hip-Hop|rap|hip hop,174000
Cher,Woman's World,Closer to the Truth,pop|female vocalists|80s,221000
Hilary Duff,My Kind,Breathe In. Breathe Out.,pop|female vocalists|dance,207000
The Pointer Sisters,Hot Together,Hot Together,Disco|pop|soul,251000
HARDY,SOLD OUT,SOLD OUT - Single,country|country rock|post-grunge,202000
Jessie Murph,Certain Kind of Love,,pop|country|Passion of Discovery,178000
Total,Шива,TOTAL: 2+ [live],russian|female vocalists|russian rock,0
Lil Tecca,Taste,TASTE [Clean] [Clean],rap|Hip-Hop|trap,170000
Frank Ocean,Strawberry Swing,"nostalgia, ULTRA.",rnb|soul|Hip-Hop,235000
Logic,Soul Food II,No Pressure,Hip-Hop|rap|hip hop,0
Hilary Duff,All About You,All About You,pop|female vocalists|dance,162000
Backstreet Boys,Straight Through My Heart,This Is Us,pop|boybands|90s,207000
Parker McCollum,Young Man's Blues,Cream of Country 2021,country|americana|folk,207000
Gunna,Oh Okay (feat. Young Thug & Lil Baby),Drip Season 3 (Deluxe),rap|trap|Hip-Hop,199000
Avril Lavigne,Push,Goodbye Lullaby,pop rock|pop|rock,181000
Frank Ocean,We All Try,"nostalgia, ULTRA.",rnb|soul|Hip-Hop,171000
Alicia Keys,It's On Again (feat. Kendrick Lamar) - From The Amazing Spider-Man 2 Soundtrack,,soul|rnb|female vocalists,0
Chris Brown,City Girls,,rnb|Hip-Hop|Chris Brown,230000
Lil Baby,Man Of My Word,Problem Child,rap|Hip-Hop|hip hop,172000
Summer Walker,Anna Mae,Over It (Complete Set Video Version),rnb|soul|Neo-Soul,137000
Timbaland,apologize (feat one republic),,Hip-Hop|rnb|rap,0
Wang Chung,Space Junk,Everybody Wang Chung Tonight... Wang Chung's Greatest Hits,new wave|80s|pop,234000
Jason Aldean,Too Fast,"Old Boots, New Dirt",country|modern country|Jason Aldean,202000
Kris Allen,To Make You Feel My Love,Season 8 Favorite Performances,American Idol|singer-songwriter|pop,223000
Kodak Black,Shake Back,Institution,trap|rap|Hip-Hop,184000
Kid Cudi,Kitchen,"Passion, Pain & Demon Slayin'",Hip-Hop|rap|alternative rap,0
BLACKPINK,Champion,DEADLINE [Explicit],k-pop|Kpop|pop,0
Shawn Mendes,Why,Shawn Mendes,pop|Canadian|folk,238000
Kelly Clarkson,Sober,My December,pop|female vocalists|pop rock,292000
Gucci Mane,Semi On Em,,Hip-Hop|rap|Dirty South,170000
NLE Choppa,In The UK,In The UK,trap|rap|Hip-Hop,183000
Alex Warren,"You’ll Be Alright, Kid",Warm & Cozy Acoustic,folk|pop|singer-songwriter,149000
Jodeci,The Show,"The Show, The After Party, The Hotel",rnb|soul|90s,85000
Gunna,Top Off,Drip Season 3 (Deluxe),rap|trap|Hip-Hop,197000
Karol G,GATÚBELA,GATÚBELA,Reggaeton|latin|Colombia,208000
Simple Plan,Astronaut,Get Your Heart On!,pop punk|punk rock|rock,220000
Shawn Mendes,Intro,Wonder,pop|Canadian|folk,62000
